,score,session_id
365,0.0,28716
366,0.0,12466
367,0.0,13386
368,-1.9436345966957317e-05,3683
369,0.0,27790
370,5.261996285473311e-06,530
371,4.230812135703652e-05,16411
372,-4.688003020757174e-05,17331
373,-7.744406662620545e-06,7610
374,0.00034519672639205044,16003
375,-1.5213568420564996e-05,19293
376,0.0,24926
377,-3.90869602840109e-07,426
378,1.761272988335296e-05,11826
379,5.204272375426551e-06,17587
380,1.4035970706984552e-05,11156
381,9.374601211336058e-07,19165
382,0.0,8259
383,-1.6196954972465253e-06,20847
384,-4.497270299719319e-05,19406
385,5.274660538269748e-06,13118
386,0.0,25977
387,4.153362025082179e-06,18891
388,0.0,6318
389,-1.2010576236266487e-07,23610
390,2.7665887724196606e-06,13112
391,0.0,20990
392,0.0,7229
393,8.908325234856113e-06,6821
394,1.991138114422164e-05,3820
395,1.295756397797239e-06,11817
396,0.0,21779
397,0.0,21916
398,0.0,19808
399,-5.992873339812085e-06,402
400,0.0,14425
401,-1.1354628272823956e-06,8658
402,0.0,2099
403,-1.5856664858370958e-06,10123
404,0.00026661018339118605,14973
405,7.677777357077955e-06,23991
406,-4.648523321857086e-05,5639
407,0.0,15619
408,-8.728800993714481e-05,804
409,-2.885535956282998e-06,4728
410,0.0,6708
411,-8.417669056360316e-06,8932
412,0.0,14952
413,-1.561849229487646e-05,23473
414,-1.5850951909586412e-06,26751
415,-1.0728554460332388e-05,25325
416,0.0,25974
417,8.263089311298407e-06,3567
418,3.535771538687026e-05,25316
419,-1.7244120742662965e-06,8667
420,-2.4295432458697883e-06,26894
421,-4.297552097536614e-05,29246
422,-9.71817298347922e-07,6845
423,1.6894616019980016e-06,11561
424,0.0,14687
425,0.0,24146
426,1.2486447253211185e-05,5669
427,1.0748412394785079e-05,16405
428,4.535147392290217e-06,21508
429,-1.0925618840212382e-05,10367
430,1.6409277956001965e-06,3552
431,-4.683026184483991e-06,13121
432,-6.212689157295657e-06,18376
433,4.524292205153843e-06,10650
434,1.3961832244783101e-05,8405
435,0.00011757639864334331,14443
